#,Giocatore,Pos,Squadra,PTS,CR,Plus,Presenze,Titolare,Minuti,Goal,Tiri,Tiri Porta,Pali,Goal Testa,Goal Rig,Goal Punizione,Chance Fallite,Goal/Min,SCR,Dribb Tentati,Dribb Riusciti
83,R. Becao,Dif,UDI,457.20,10.80,-0.20,28,28,2486,2,19,5,0,2,0,0,0,1243,10.53,10,5
85,G. Scalvini,Dif,ATA,456.80,10.90,-0.20,32,29,2345,2,17,4,1,1,0,0,1,1172.5,11.76,23,12
86,Mario Rui,Dif,NAP,456.20,14.50,-1.30,22,21,1761,0,11,4,2,0,0,0,1,0,0,12,7
88,L. Caldirola,Dif,MON,455.70,10.10,1.60,31,27,2360,2,10,4,1,1,0,0,3,1180,20,2,1
91,M. Olivera,Dif,NAP,452.60,12.30,-0.90,30,17,1634,2,9,4,0,2,0,0,0,817,22.22,22,9
92,M. Darmian,Dif,INT,446.60,10.60,-0.40,31,24,2032,1,7,1,0,0,0,0,1,2032,14.29,18,9
93,A. Bastoni,Dif,INT,446.40,13.50,-4.60,29,26,2168,0,12,3,1,0,0,0,0,0,0,14,7
99,D. Dumfries,Dif,INT,433.80,12.10,-5.60,34,25,2223,1,33,14,1,0,0,0,6,2223,3.03,41,18
100,K. Djidji,Dif,TOR,431.90,8.80,1.40,34,26,2422,1,8,4,0,1,0,0,2,2422,12.5,5,4
101,V. Gendrey,Dif,LEC,431.30,9.20,0.90,37,35,3103,0,10,0,0,0,0,0,1,0,0,32,15
102,S. de Vrij,Dif,INT,431.10,13.40,-4.20,27,22,1943,1,20,6,2,1,0,0,1,1943,5,2,1
103,Pablo Mari,Dif,MON,430.80,11.90,-2.10,30,28,2489,1,10,2,0,0,0,0,0,2489,10,3,1
105,J. Maehle,Dif,ATA,426.40,11.30,-4.40,34,25,2213,3,26,6,1,1,0,0,3,737.67,11.54,51,18
106,N. Milenkovic,Dif,FIO,425.90,13.30,-3.50,27,23,2136,2,19,6,1,2,0,0,1,1068,10.53,0,0
109,A. Cambiaso,Dif,BOL,423.60,9.60,0.60,32,25,2169,0,17,5,0,0,0,0,1,0,0,52,28
111,D. Nikolaou,Dif,SPE,419.30,8.60,0.30,36,34,2962,1,10,3,0,1,0,0,0,2962,10,12,10
112,P. Schuurs,Dif,TOR,414.30,11.40,-2.00,30,28,2333,0,14,1,1,0,0,0,2,0,0,12,9
116,W. Singo,Dif,TOR,411.50,11.60,-2.80,31,24,2056,2,34,10,0,0,0,0,4,1028,5.88,42,29
122,M. Lazzari,Dif,LAZ,399.60,10.50,-1.50,28,22,1887,0,6,2,0,0,0,0,0,0,0,35,17
124,A. Sandro,Dif,JUV,395.60,11.80,-2.00,25,21,1786,0,5,0,0,0,0,0,1,0,0,22,18
128,E. Ampadu,Dif,SPE,392.90,10.00,-0.20,31,31,2649,0,16,5,1,0,0,0,3,0,0,9,8
131,T. Augello,Dif,SAM,390.60,8.80,-0.90,37,35,3066,2,11,4,0,0,0,0,1,1533,18.18,57,32
139,D. Calabria,Dif,MIL,385.00,11.70,-1.60,25,21,1694,1,16,2,0,1,0,0,0,1694,6.25,10,2
151,I. Hien,Dif,VER,364.60,9.10,-0.60,32,28,2607,0,3,0,0,0,0,0,1,0,0,25,14
153,E. Valeri,Dif,CRE,363.10,7.10,0.00,37,31,2790,2,40,6,0,0,0,0,2,1395,5,58,18
155,M. Erlic,Dif,SAS,362.20,9.70,-1.60,28,26,2330,0,4,0,0,0,0,0,0,0,0,2,1
