Giocatore,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
Tiémoué Bakayoko,1.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.19
Tommaso Pobega,1.4,0.5,1.6,0.0,0.6,0.4,0.2,0.0,6.42
Yacine Adli,1.0,0.2,0.7,0.0,0.2,0.0,0.0,0.0,6.25
Zlatan Ibrahimovic,0.0,0.0,0.5,0.0,0.5,0.0,0.3,0.0,6.42
Alessio Cragno,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.61
Andrea Barberis,0.8,0.9,0.1,0.1,0.1,0.7,0.0,0.0,6.2
Andrea Carboni,0.8,0.8,0.3,0.3,0.3,0.8,0.5,0.0,5.94
Andrea Colpani,0.5,0.1,0.8,0.0,0.2,0.1,0.1,0.0,6.54
Andrea Petagna,0.2,0.1,0.9,0.0,0.6,0.1,0.1,0.0,6.51
Andrea Ranocchia,3.0,0.0,2.0,0.0,7.0,1.0,5.0,0.0,6.67
Armando Izzo,2.4,1.7,1.5,0.1,2.6,0.5,0.6,0.0,6.93
Carlos Augusto,2.1,0.7,1.2,0.2,2.1,0.6,0.2,0.0,6.99
Christian Gytkjær,0.3,0.0,0.5,0.0,0.1,0.1,0.0,0.0,6.07
Dany Mota,0.3,0.2,0.7,0.0,0.9,0.3,0.0,0.0,6.64
Filippo Ranocchia,0.8,0.3,0.5,0.0,0.5,0.6,0.1,0.0,6.41
Franco Carboni,0.3,0.3,0.7,0.0,0.0,0.7,0.0,0.0,6.3
Gianluca Caprari,0.4,0.2,0.9,0.0,0.1,0.5,0.0,0.0,6.5
Giulio Donati,0.4,0.4,0.8,0.0,1.0,0.3,0.1,0.0,6.13
